admissionNo,name,email,department,year,section,batch,gender,dateOfBirth,address,phone
23891A3303,Arjun Das,student_23891a3303@vignanerp.test,AI&DS,3,A,2023-2027,male,2005-02-20,"Flat 418, Road No 3, Hyderabad",918696367628
23891A3304,Riya Patel,student_23891a3304@vignanerp.test,AI&DS,3,C,2023-2027,female,2005-07-08,"Flat 198, Road No 4, Hyderabad",917963838670
23891A3305,Prisha Sen,student_23891a3305@vignanerp.test,AI&DS,3,C,2023-2027,male,2005-09-17,"Flat 249, Road No 2, Hyderabad",919223469300
23891A3501,Tanya Patel,student_23891a3501@vignanerp.test,AIML,3,B,2023-2027,female,2005-11-18,"Flat 174, Road No 8, Hyderabad",919560737227
23891A3502,Kunal Patel,student_23891a3502@vignanerp.test,AIML,1,B,2023-2027,female,2005-08-15,"Flat 225, Road No 9, Hyderabad",917583899587
23891A3503,Meera Mehta,student_23891a3503@vignanerp.test,AIML,4,B,2023-2027,male,2005-08-14,"Flat 487, Road No 5, Hyderabad",916018372888
23891A3504,Prisha Choudhury,student_23891a3504@vignanerp.test,AIML,4,C,2023-2027,female,2005-12-24,"Flat 508, Road No 12, Hyderabad",917397573500
23891A3505,Vihaan Nair,student_23891a3505@vignanerp.test,AIML,3,B,2023-2027,male,2005-12-18,"Flat 412, Road No 3, Hyderabad",916601292261
23891A3701,Siddharth Gupta,student_23891a3701@vignanerp.test,CSBS,3,C,2023-2027,female,2005-05-02,"Flat 479, Road No 2, Hyderabad",917506390944
23891A3702,Saanvi Das,student_23891a3702@vignanerp.test,CSBS,3,B,2023-2027,female,2005-02-24,"Flat 433, Road No 3, Hyderabad",919930966809
23891A3703,Kunal Pillai,student_23891a3703@vignanerp.test,CSBS,2,C,2023-2027,male,2005-08-26,"Flat 219, Road No 8, Hyderabad",918714417392
23891A3704,Aarav Joshi,student_23891a3704@vignanerp.test,CSBS,2,C,2023-2027,female,2005-06-07,"Flat 182, Road No 4, Hyderabad",918253637165
23891A3705,Tanvi Verma,student_23891a3705@vignanerp.test,CSBS,4,A,2023-2027,female,2005-08-13,"Flat 312, Road No 9, Hyderabad",918414479440
23891A0301,Kavya Bose,student_23891a0301@vignanerp.test,MECH,3,C,2023-2027,female,2005-02-16,"Flat 144, Road No 2, Hyderabad",916342079968
23891A0302,Diya Bose,student_23891a0302@vignanerp.test,MECH,4,C,2023-2027,female,2005-05-26,"Flat 258, Road No 5, Hyderabad",919750193311
23891A0303,Varun Bose,student_23891a0303@vignanerp.test,MECH,4,B,2023-2027,female,2005-03-08,"Flat 351, Road No 11, Hyderabad",918381863838
23891A0304,Tanya Gupta,student_23891a0304@vignanerp.test,MECH,1,B,2023-2027,male,2005-08-22,"Flat 380, Road No 8, Hyderabad",916820832350
23891A0305,Vikram Mehta,student_23891a0305@vignanerp.test,MECH,1,B,2023-2027,male,2005-11-06,"Flat 392, Road No 6, Hyderabad",918380193863
23891A0801,Yash Verma,student_23891a0801@vignanerp.test,CHEMICAL,3,C,2023-2027,female,2005-05-13,"Flat 416, Road No 6, Hyderabad",916738031935
23891A0802,Vihaan Rao,student_23891a0802@vignanerp.test,CHEMICAL,3,C,2023-2027,female,2005-11-15,"Flat 369, Road No 1, Hyderabad",916039807609
23891A0803,Diya Mehta,student_23891a0803@vignanerp.test,CHEMICAL,4,C,2023-2027,male,2005-02-11,"Flat 466, Road No 7, Hyderabad",916376878698
23891A0804,Ishaan Reddy,student_23891a0804@vignanerp.test,CHEMICAL,1,B,2023-2027,female,2005-03-18,"Flat 390, Road No 2, Hyderabad",916745137267
23891A0805,Tanya Rao,student_23891a0805@vignanerp.test,CHEMICAL,1,B,2023-2027,male,2005-12-26,"Flat 479, Road No 9, Hyderabad",918626643019
23891A0901,Amit Sen,student_23891a0901@vignanerp.test,BIOTECH,4,B,2023-2027,male,2005-06-03,"Flat 507, Road No 6, Hyderabad",917489388314
23891A0902,Tanvi Rao,student_23891a0902@vignanerp.test,BIOTECH,3,C,2023-2027,female,2005-04-21,"Flat 412, Road No 8, Hyderabad",916194309355
23891A0903,Aishwarya Patel,student_23891a0903@vignanerp.test,BIOTECH,1,C,2023-2027,male,2005-03-15,"Flat 439, Road No 5, Hyderabad",918174730798
23891A0904,Yash Pillai,student_23891a0904@vignanerp.test,BIOTECH,1,A,2023-2027,female,2005-03-13,"Flat 234, Road No 6, Hyderabad",919069653120
23891A0905,Sneha Pillai,student_23891a0905@vignanerp.test,BIOTECH,4,B,2023-2027,female,2005-07-11,"Flat 372, Road No 1, Hyderabad",918283878995
